Campaign_ID,Campaign_Type,Target_Audience,Duration,Channel_Used,Impressions,Clicks,Leads,Conversions,Revenue,Acquisition_Cost,ROI,Language,Engagement_Score,Customer_Segment,Date,ROI_Flag,Audience_Segment_Match,Channel_Count,Month,Month_Number,Quarter,Weekday,Channel_Combo,Duration_Bucket,CTR,Lead_Rate,Conversion_Rate,Impression_To_Conversion,Revenue_Per_Click,Revenue_Per_Conversion,Cost_Per_Conversion,Profit,Profitable_Flag
NY-CMP-26423,Email,Premium Shoppers,20,"Instagram, WhatsApp",43622,5676,2049,1123,706367,201.3,2.12,Tamil,20.28,Premium Shoppers,2024-07-01,Profitable,True,2,July,7,Q3,Monday,"Instagram, WhatsApp",Medium,0.13011783045252395,0.3609936575052854,0.5480722303562714,0.025743890697354548,124.44802677942212,629.0,0.1792520035618878,706165.7,1
NY-CMP-8841,Email,College Students,6,"WhatsApp, Google",45260,2309,764,266,54264,288.74,-0.29,Tamil,7.38,Working Women,2024-07-01,Loss-Making,False,2,July,7,Q3,Monday,"Google, WhatsApp",Short,0.05101634997790543,0.33087916847119964,0.3481675392670157,0.0058771542200618644,23.50108271979212,204.0,1.0854887218045113,53975.26,0
NY-CMP-29259,Email,Youth,20,"YouTube, WhatsApp, Google",13249,889,261,105,59745,1778.5,-0.68,Hindi,9.47,Premium Shoppers,2024-07-01,Loss-Making,False,3,July,7,Q3,Monday,"Google, WhatsApp, YouTube",Medium,0.06709940372858329,0.29358830146231724,0.40229885057471265,0.007925126424635822,67.20472440944881,569.0,16.938095238095237,57966.5,0
NY-CMP-38552,Email,Tier 2 City Customers,5,Facebook,26709,1445,659,221,110500,1027.39,-0.51,English,8.7,Working Women,2024-07-01,Loss-Making,False,1,July,7,Q3,Monday,Facebook,Short,0.05410161368826987,0.4560553633217993,0.3353566009104704,0.008274364446441274,76.47058823529412,500.0,4.648823529411765,109472.61,0
NY-CMP-49845,Email,Working Women,8,Instagram,70901,6987,3403,2194,1627948,57.02,12.01,English,17.75,College Students,2024-07-01,Profitable,False,1,July,7,Q3,Monday,Instagram,Short,0.09854585971989112,0.48704737369400314,0.6447252424331472,0.030944556494266653,232.99670817232,742.0,0.025989061075660895,1627890.98,1
NY-CMP-27969,Email,Tier 2 City Customers,11,Facebook,68707,4985,1650,778,256740,245.45,0.34,Hindi,10.79,College Students,2024-07-01,Profitable,False,1,July,7,Q3,Monday,Facebook,Medium,0.0725544704324159,0.33099297893681046,0.4715151515151515,0.011323445937095201,51.502507522567704,330.0,0.3154884318766067,256494.55,1
NY-CMP-23827,Email,Working Women,14,"Google, Instagram, YouTube",35462,923,493,327,181812,547.67,0.02,English,4.92,Tier 2 City Customers,2024-07-01,Profitable,False,3,July,7,Q3,Monday,"Google, Instagram, YouTube",Medium,0.02602786080875303,0.5341278439869989,0.6632860040567952,0.009221138119677402,196.97941495124593,556.0,1.6748318042813455,181264.33,1
NY-CMP-6897,Email,Youth,6,"Facebook, Instagram",10291,576,258,199,157409,342.31,1.31,Bengali,10.04,Premium Shoppers,2024-07-01,Profitable,False,2,July,7,Q3,Monday,"Facebook, Instagram",Short,0.055971237003206685,0.4479166666666667,0.7713178294573644,0.0193372850063162,273.2795138888889,791.0,1.7201507537688443,157066.69,1
NY-CMP-32912,Email,Tier 2 City Customers,18,YouTube,34364,1935,712,472,175112,217.12,0.71,Hindi,9.08,Premium Shoppers,2024-07-01,Profitable,False,1,July,7,Q3,Monday,YouTube,Medium,0.0563089279478524,0.36795865633074937,0.6629213483146067,0.01373530438831335,90.49715762273902,371.0,0.46,174894.88,1
NY-CMP-6213,Email,College Students,15,"Google, WhatsApp",96926,12464,4323,1846,679328,33.32,10.05,English,19.22,College Students,2024-07-01,Profitable,True,2,July,7,Q3,Monday,"Google, WhatsApp",Medium,0.12859294719683056,0.34683889602053913,0.4270182743465186,0.0190454573592225,54.503209242618745,368.0,0.018049837486457204,679294.68,1
